;ID;question;mexico_2008;mexico_2010;mexico_2012;mexico_2014;ecuador_2010;ecuador_2012;ecuador_2014;uruguay_2014;colombia_2010;colombia_2012;colombia_2014;chile_2008;chile_2014;argentina_2014;peru_2014;peru_2010;brasil_2014;brasil_2010;
Q_1;1;¿a nivel internacional, usted cree que [PAÍS] tendrá más o menos importancia;p6_604_5c;p28_3;NA;NA;p28_3;EC6;NA;NA;p28_3;NA;NA;p16_2b;NA;NA;NA;p28_3;Q_54;p16_3;
Q_2;2;¿a nivel internacional, usted cree que [PAÍS] tiene más o menos importancia;p6_604_5b;NA;q33_2;NA;p28_2;q33_2;EC6;NA;p28_2;q33_2;NA;p16_2a;NA;NA;NA;p28_2;NA;NA;
Q_3;3;¿a qué país se iría, si pudiera?;p2_201_2B;p4_1;q7_1;NA;p4_1;q7_1;NA;NA;p4_1;q7_1;NA;NA;NA;NA;NA;p4_1, p4_1rc1, p4_1rc2;NA;NA;
Q_4;4;¿a qué tipo de actividad se dedica la institución o empresa donde usted trabaja;ps13;pS13;qs16;PS131, PS131A;s13;NA;S13_1;NA;S13;qs16;S13_1;s13;NA;ps13_1, ps13_1ot;S13_1_ET;S13;Q_135;ps13;
Q_5;5;¿algún familiar suyo vive fuera de [PAIS]?;p2_203_3;p3;q5;P23;p3;q5;P2_3;NA;p3;q5;v_2_3;p3;NA;NA;P2_3;p3;Q_39;p3;
Q_6;6;¿Alguno de sus padres o abuelos nació en otro país?;NA;NA;qS13;NA;NA;qS13;NA;NA;NA;qS13;NA;NA;NA;NA;NA;NA;NA;NA;
Q_7;7;¿Cómo califica usted cada uno de los siguientes aspectos de Estados Unidos Su cultura popular, como el cine y la musica;NA;NA;NA;P915;NA;NA;P9_1_5;NA;NA;NA;V_9_1_5;NA;P9_1_5;p9_1_5;P9_1_1_E_R;NA;T_209_5;NA;
Q_8;8;¿Cómo califica usted cada uno de los siguientes aspectos de Estados Unidos Su democracia;NA;NA;NA;P912;NA;NA;P9_1_2;NA;NA;NA;v_9_1_2;NA;P9_1_2;p9_1_2;P9_1_1_B_R;NA;T_209_2;NA;
Q_9;9;¿Cómo califica usted cada uno de los siguientes aspectos de Estados Unidos Su posicion como el pais mas importante del mundo;NA;NA;NA;P914;NA;NA;P9_1_4;NA;NA;NA;v_9_1_4;NA;P9_1_4;p9_1_4;P9_1_1_D_R;NA;T_209_4;NA;
Q_10;10;¿Cómo califica usted cada uno de los siguientes aspectos de Estados Unidos Su presencia militar en el mundo;NA;NA;NA;P913;NA;NA;P9_1_3;NA;NA;NA;v_9_1_3;NA;P9_1_3;p9_1_3;P9_1_1_C_R;NA;T_209_3;NA;
Q_11;11;¿Cómo califica usted cada uno de los siguientes aspectos de Estados Unidos Sus avances cientificos y tecnologicos;NA;NA;NA;P911;NA;NA;P9_1_1;NA;NA;NA;v_9_1_1;NA;P9_1_1;p9_1_1;P9_1_1_A_R;NA;T_209_1;NA;
Q_12;12;¿Cómo cree Ud que se manejó el caso con Perú ante la Corte Internacional de Justicia de La Haya ?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C15;NA;NA;NA;NA;NA;
Q_13;13;¿Como cuántos focos tienen en su casa?;ps14;pS15;qs18;PS15;s15;qs18;S15;NA;S15;qs18;S15;NA;NA;ps16;S15_F;S15;Q_137;ps14;
Q_14;14;¿cómo describiría la relación de [PAIS] con los siguientes países... alemania [AMIGOS, SOCIOS, RIVALES, AMENAZA];NA;NA;NA;NA;NA;NA;P10_4_10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_15;15;¿cómo describiría la relación de [PAIS] con los siguientes países... argentina [AMIGOS, SOCIOS, RIVALES, AMENAZA];p10_1005_5a;NA;NA;NA;ec_34_1;NA;NA;P10_4_3;NA;NA;NA;p46a;P10_4_3;NA;NA;NA;NA;p46r2;
Q_16;16;¿cómo describiría la relación de [PAIS] con los siguientes países... Bolivia [AMIGOS, SOCIOS, RIVALES, AMENAZA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P10_4_8;NA;P10_4_1_H;NA;NA;NA;
Q_17;17;¿cómo describiría la relación de [PAIS] con los siguientes países... brasil [AMIGOS, SOCIOS, RIVALES, AMENAZA];p10_1005_5b;NA;NA;P1041;ec_34_2;NA;P10_4_1;P10_4_1, P10_4_5;NA;NA;v_10_4_1;p46b;P10_4_1;p10_4_1;P10_4_1_A;NA;NA;NA;
Q_18;18;¿cómo describiría la relación de [PAIS] con los siguientes países... canadá [AMIGOS, SOCIOS, RIVALES, AMENAZA];p10_1005_5k;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p46c;NA;NA;NA;NA;NA;p46r6;
Q_19;19;¿cómo describiría la relación de [PAIS] con los siguientes países... chile [AMIGOS, SOCIOS, RIVALES, AMENAZA];p10_1005_5d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p10_4_3;P10_4_1_I;NA;NA;p46r7;
Q_20;20;¿cómo describiría la relación de [PAIS] con los siguientes países... china [AMIGOS, SOCIOS, RIVALES, AMENAZA];p10_1005_5e;NA;NA;P1042;ec_34_3;NA;P10_4_2;P10_4_2;NA;NA;v_10_4_2;p46d;P10_4_2;p10_4_2;P10_4_1_B;NA;NA;p46r8;
